row_id,entity,entity_scope,segment,material,chain_stage,metric,basis,period,period_granularity,period_end_date,value_reported,scale_factor,value_base,unit,currency,price_basis,derivation,derived_from,is_comparative,doc_type,source_document,pdf_page,printed_page,raw_text,language,confidence,notes
GT01,MP Materials,segment,Materials,total_REO,concentrate,revenue,contained_REO,FY2025,FY,2025-12-31,41992.0,1000,41992000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,48,44,"$ 41,992",en,high,"Table header 'in thousands'. Concentrate is sold only by the Materials segment, so the consolidated product line equals the segment figure. Pairs with GT05/GT07."
GT02,MP Materials,segment,Materials,total_REO,concentrate,revenue,contained_REO,FY2024,FY,2024-12-31,144363.0,1000,144363000.0,USD,USD,not_applicable,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,48,44,"$ 144,363",en,high,Prior-year comparative inside the FY2025 filing. Not yet checked against the FY2024 10-K's own figure (restatement check pending).
GT03,MP Materials,segment,Materials,total_REO,concentrate,revenue,contained_REO,FY2023,FY,2023-12-31,252468.0,1000,252468000.0,USD,USD,not_applicable,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,48,44,"$ 252,468",en,high,Comparative. Not yet checked against the FY2023 10-K.
GT04,MP Materials,segment,Materials,total_REO,concentrate,production_volume,contained_REO,FY2025,FY,2025-12-31,50692.0,1,50692.0,tonnes,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"50,692",en,high,"PRODUCTION, not sales. MT of contained REO (p.43). Only 8,922 sold (GT05): concentrate sales to China ceased July 2025 and most output was refined internally into NdPr. Not a stockpile."
GT05,MP Materials,segment,Materials,total_REO,concentrate,sales_volume,contained_REO,FY2025,FY,2025-12-31,8922.0,1,8922.0,tonnes,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"8,922",en,high,"MT of contained REO, not physical concentrate. Grade >60% REO per dry MT (p.43), so physical weight is materially higher. Do not compare with customs tonnage without regrading."
GT06,MP Materials,segment,Materials,total_REO,concentrate,sales_volume,contained_REO,FY2024,FY,2024-12-31,32703.0,1,32703.0,tonnes,none,not_applicable,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,53,49,"32,703",en,high,Comparative. Contained-REO basis as GT05.
GT07,MP Materials,segment,Materials,total_REO,concentrate,avg_selling_price,contained_REO,FY2025,FY,2025-12-31,4707.0,1,4707.0,USD_per_tonne,USD,basket,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"$ 4,707",en,high,"BASKET price across the whole REO mix incl. ~50% Ce and ~32% La (GT19). Never chart against an NdPr price. Issuer computes it as concentrate revenue / REO sales volume (p.43) but prints it, so as_reported. KPI table is 'in whole units' -> scale 1. Series discontinued after FY2025."
GT08,MP Materials,segment,Materials,total_REO,concentrate,avg_selling_price,contained_REO,FY2023,FY,2023-12-31,6854.0,1,6854.0,USD_per_tonne,USD,basket,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,53,49,"$ 6,854",en,high,"Comparative. Basket price, as GT07."
GT09,MP Materials,segment,Materials,NdPr,oxide,revenue,oxide_equivalent,FY2025,FY,2025-12-31,115131.0,1000,115131000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,48,44,"115,131",en,low,"BLENDED line 'NdPr oxide and metal' spans two chain stages; no honest single chain_stage. Project decision: oxide + oxide_equivalent + low confidence. Gross of the 2,789 intersegment elimination (GT15); includes Q4 2025 sales to Magnetics. Pair only with GT12, never net GT15 out of this alone."
GT10,MP Materials,segment,Materials,NdPr,oxide,revenue,oxide_equivalent,FY2023,FY,2023-12-31,695.0,1000,695000.0,USD,USD,not_applicable,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,48,44,695,en,low,"Comparative. In thousands: this is USD 695,000, not USD 695. Same blended line as GT09. Pairs with GT13 (10 MT) - any price derived from this pair is meaningless."
